1.,0.
1.5,0.
2.,0.
2.5,0.
3.,0.
3.5,0.
4.,0.
4.5,0.
5.,0.
5.5,0.
6.,0.
6.5,0.
7.,0.
7.5,0.
8.,0.
8.5,0.
9.,0.
9.5,0.
10.,0.
10.5,0.
11.,0.
11.5,0.
12.,0.
12.5,0.
13.,0.
13.5,0.
14.,0.
14.5,0.
15.,0.
15.5,0.
16.,0.
16.5,0.
17.,0.
17.5,0.
18.,0.
18.5,0.
19.,0.
19.5,0.
20.,0.
20.5,0.
21.,0.
21.5,0.
22.,0.
22.5,0.
23.,0.
23.5,0.
24.,0.
24.5,0.
25.,0.
25.5,0.
26.,0.
26.5,0.
27.,0.
27.5,0.
28.,0.
28.5,0.
29.,0.
29.5,0.
30.,0.
30.5,0.
31.,0.
31.5,0.
32.,0.
32.5,0.
33.,0.
33.5,0.
34.,0.
34.5,0.
35.,0.
35.5,0.
36.,0.
36.5,0.
37.,0.
37.5,0.
38.,0.
38.5,0.
39.,0.
39.5,0.
40.,0.
40.5,0.
41.,0.
41.5,0.
42.,0.
42.5,0.
43.,0.
43.5,0.
44.,0.
44.5,0.
45.,0.
45.5,0.
46.,1.1181510046356018e-36
46.5,1.1920366242379833e-36
47.,1.2564739483098935e-36
47.5,1.3203154858116829e-36
48.,1.3846179222018373e-36
48.5,1.4496835936921881e-36
49.,1.515624517459202e-36
49.5,1.5824842513687223e-36
50.,1.6502762020947938e-36
50.5,1.718998577091396e-36
51.,1.7886411316339868e-36
51.5,1.8591885529697653e-36
52.,1.930622304257594e-36
52.5,2.0029216975011285e-36
53.,2.0760645549355917e-36
53.5,2.1500276372173945e-36
54.,2.2247869333289636e-36
54.5,2.300317865057704e-36
55.,2.3765954367839044e-36
55.5,2.453594349109944e-36
56.,2.5312890878644695e-36
56.5,2.6096539958623016e-36
57.,2.6886633322616704e-36
57.5,2.7682913231664255e-36
58.,2.848512203459362e-36
58.5,2.929300256655611e-36
59.,3.010629847309145e-36
59.5,3.0924754514173426e-36
60.,3.1748116836462637e-36
60.5,3.25761332209108e-36
61.,3.340855330902205e-36
61.5,3.4245128810320926e-36
62.,3.50856136930279e-36
62.5,3.5929764359540976e-36
63.,3.677733980802214e-36
63.5,3.762810178116494e-36
64.,3.8481814903049925e-36
64.5,3.933824680486565e-36
65.,4.0197168240173664e-36
65.5,4.105835319031858e-36
66.,4.1921578960522624e-36
66.5,4.27866262671565e-36
67.,4.36532793166377e-36
67.5,4.452132587637636e-36
68.,4.539055733816089e-36
68.5,4.626076877435383e-36
69.,4.7131758987248e-36
69.5,4.8003330551916586e-36
70.,4.887528986520158e-36
70.5,4.9747447129561755e-36
71.,5.061961644546714e-36
71.5,5.14916157883962e-36
72.,5.236326703395561e-36
72.5,5.3234395967936854e-36
73.,5.4104832291842183e-36
73.5,5.497440962412086e-36
74.,5.584296549734739e-36
74.5,5.6710341351565396e-36
75.,5.757638252401209e-36
75.5,5.844093823543007e-36
76.,5.930386157316634e-36
76.5,6.016500947124951e-36
77.,6.102424268762968e-36
77.5,6.188142577875822e-36
78.,6.273642707167697e-36
78.5,6.358911863378064e-36
79.,6.443937624040867e-36
79.5,6.52870793404166e-36
80.,6.613211101987126e-36
80.5,6.697435796400732e-36
81.,6.78137104175766e-36
81.5,6.865006214371778e-36
82.,6.948331038146511e-36
82.5,7.031335580201334e-36
83.,7.114010246384738e-36
83.5,7.196345776684289e-36
84.,7.278333240543672e-36
84.5,7.359964032096404e-36
85.,7.441229865325204e-36
85.5,7.522122769155649e-36
86.,7.602635082492512e-36
86.5,7.682759449206377e-36
87.,7.762488813078135e-36
87.5,7.841816412708342e-36
88.,7.920735776398134e-36
88.5,7.999240717008031e-36
89.,8.07732532680066e-36
89.5,8.154983972273063e-36
90.,8.232211288983944e-36
90.5,8.30900217638098e-36
91.,8.385351792632897e-36
91.5,8.461255552800362e-36
92.,8.536709110711746e-36
92.5,8.611708372825128e-36
93.,8.6862494807654e-36
93.5,8.760328809260523e-36
94.,8.833942961088612e-36
94.5,8.907088762056271e-36
95.,8.979763256011166e-36
95.5,9.051963699891485e-36
96.,9.123687558814841e-36
96.5,9.194932501208932e-36
97.,9.265696393986209e-36
97.5,9.335977297764469e-36
98.,9.405773462135348e-36
98.5,9.47508332098236e-36
99.,9.54390548785013e-36
99.5,9.612238751366209e-36
100.,9.680082070716863e-36
100.5,9.747434571178001e-36
101.,9.81429553970236e-36
101.5,9.880664420563931e-36
102.,9.946540811060483e-36
102.5,1.0011924457275032e-35
103.,1.007681524989688e-35
103.5,1.014121322010289e-35
104.,1.0205118535499478e-35
104.5,1.0268531496125756e-35
105.,1.0331452530518286e-35
105.5,1.0393882191837582e-35
106.,1.045582115405677e-35
106.5,1.05172702082124e-35
107.,1.0578230258717685e-35
107.5,1.0638702319738052e-35
